N, gradtime, hesstime
16, 0.07129376888275146, 0.28203907012939455
15, 0.057327594757080075, 0.24507312774658202
71, 0.26352887153625487, 18.598897981643677
76, 0.28355011224746707, 22.935713148117067
120, 0.5877499532699585, 124.32496886253357
12, 0.06149904727935791, 0.18374848365783691
12, 0.060459153652191164, 0.16735453605651857
12, 0.056566834449768066, 0.19940896034240724
12, 0.05833117961883545, 0.18235983848571777
12, 0.0571255087852478, 0.18670687675476075
12, 0.05697901725769043, 0.19397406578063964
12, 0.060964152812957764, 0.17368240356445314
14, 0.061930551528930664, 0.24107007980346679
14, 0.06423635005950928, 0.20833878517150878
14, 0.06482861280441284, 0.2327566146850586
14, 0.0649899458885193, 0.22250065803527833
14, 0.06434176206588745, 0.225439453125
14, 0.06503354072570801, 0.2328364372253418
11, 0.062144742012023926, 0.18439559936523436
11, 0.06263291835784912, 0.15439023971557617
11, 0.05912945032119751, 0.167041015625
11, 0.06078619003295899, 0.18621234893798827
11, 0.059143736362457275, 0.18157739639282228
11, 0.06187459230422974, 0.1739133834838867
11, 0.060766942501068115, 0.17451715469360352
11, 0.06131795406341553, 0.18469152450561524
11, 0.06160165786743164, 0.1890662670135498
11, 0.05380587100982666, 0.24460830688476562
11, 0.056105237007141116, 0.15993595123291016
11, 0.051090924739837645, 0.15289340019226075
18, 0.06675790309906006, 0.394281005859375
18, 0.06627145290374756, 0.4156913757324219
18, 0.06827371120452881, 0.4342400550842285
7, 0.045120711326599124, 0.0936887264251709
8, 0.04820580005645752, 0.1090430736541748
10, 0.054478449821472166, 0.1782078266143799
10, 0.05432581901550293, 0.19733891487121583
10, 0.055997467041015624, 0.17885751724243165
8, 0.047268683910369876, 0.09866738319396973
8, 0.04655730962753296, 0.10257906913757324
8, 0.04856588840484619, 0.10064363479614258
13, 0.05641421556472778, 0.19878168106079103
13, 0.05566625833511352, 0.22257609367370607
13, 0.05499691247940063, 0.18811912536621095
13, 0.055912697315216066, 0.20612616539001466
13, 0.05720197677612305, 0.2116034984588623
16, 0.059471240043640135, 0.27822089195251465
16, 0.0625382924079895, 0.2730001449584961
16, 0.06072395086288452, 0.26816983222961427
16, 0.06156214952468872, 0.2860698699951172
16, 0.06087453126907349, 0.22700185775756837
16, 0.06111140966415405, 0.2797707080841064
16, 0.06151927947998047, 0.23823318481445313
16, 0.06102048635482788, 0.2615675449371338
16, 0.0598025918006897, 0.26077117919921877
10, 0.052057380676269534, 0.12665905952453613
10, 0.049632489681243896, 0.14608774185180665
10, 0.05198414325714111, 0.11821494102478028
10, 0.05150359392166138, 0.13573379516601564
10, 0.057818715572357175, 0.15216851234436035
10, 0.057100121974945066, 0.14600057601928712
11, 0.05923052310943604, 0.17864818572998048
11, 0.056887154579162595, 0.17774906158447265
11, 0.057599353790283206, 0.16132740974426268
11, 0.05679071187973023, 0.16058859825134278
16, 0.0667536473274231, 0.34203219413757324
9, 0.056901843547821046, 0.12083077430725098
9, 0.053777287006378176, 0.12457842826843261
5, 0.048740532398223874, 0.08478889465332032
8, 0.06119842529296875, 0.21029295921325683
11, 0.05759374141693115, 0.17762928009033202
15, 0.06857004880905151, 0.2700352191925049
16, 0.06864620447158813, 0.3205125331878662
16, 0.06929639816284179, 0.27182583808898925
16, 0.06861811399459838, 0.2979001045227051
16, 0.06609125137329101, 0.2976677417755127
16, 0.06657269954681397, 0.2814441680908203
16, 0.06915951013565064, 0.3010875225067139
16, 0.06733545780181885, 0.2749177932739258
16, 0.06687949895858765, 0.3069427967071533
16, 0.06766074419021606, 0.3218119144439697
16, 0.06614805459976196, 0.31845884323120116
16, 0.0702550745010376, 0.301145601272583
16, 0.06797143697738647, 0.27957658767700194
16, 0.06658405780792237, 0.31034626960754397
16, 0.0679101276397705, 0.29477729797363283
20, 0.07412898302078247, 0.4570629596710205
17, 0.07947391033172607, 0.5016885280609131
17, 0.07714219570159912, 0.4956930637359619
17, 0.07822778224945068, 0.500264024734497
17, 0.07629407167434693, 0.5055750370025635
17, 0.07657528400421143, 0.5020053863525391
22, 0.0800643491744995, 0.5652593612670899
20, 0.0767941689491272, 0.46060643196105955
20, 0.07512013673782349, 0.49280385971069335
20, 0.07972698450088501, 0.47601494789123533
20, 0.07869896650314331, 0.5430265903472901
21, 0.07748990535736083, 0.4899240493774414
21, 0.07802474737167359, 0.49136643409729003
21, 0.07788176298141479, 0.4734412670135498
21, 0.07733474969863892, 0.4885698795318604
53, 0.15068998098373412, 3.766908311843872
53, 0.15353281021118165, 3.8017906188964843
53, 0.1494482946395874, 3.8494587421417235
9, 0.05710857629776001, 0.14804816246032715
13, 0.06317731618881225, 0.20762429237365723
3, 0.04623281717300415, 0.05586299896240234
16, 0.06867678165435791, 0.3036351680755615
11, 0.061748974323272705, 0.1906810760498047
22, 0.07979417562484742, 0.5811685085296631
17, 0.06988369703292846, 0.36245150566101075
9, 0.05691199064254761, 0.15262513160705565
15, 0.06632086277008056, 0.27701692581176757
37, 0.1255702233314514, 2.4692990303039553
4, 0.04824234247207641, 0.07465987205505371
8, 0.05651587724685669, 0.13418679237365722
20, 0.07426759243011474, 0.4293344974517822
6, 0.051312646865844726, 0.09083671569824218
27, 0.09100595474243164, 1.0147595405578613
14, 0.06676064729690552, 0.2733139991760254
15, 0.07004205226898193, 0.373738956451416
13, 0.06731730461120605, 0.2610067844390869
14, 0.06590784549713134, 0.25444808006286623
14, 0.06216616630554199, 0.22450952529907225
14, 0.06462397813796997, 0.21824369430541993
14, 0.06694199085235596, 0.2101524829864502
