N, gradtime, hesstime
8, 0.04701391696929932, 0.07873554229736328
14, 0.06098376512527466, 0.19733805656433107
179, 0.45950540065765383, 63.825275611877444
182, 0.5394111585617065, 79.31624593734742
185, 0.5371577739715576, 91.91858248710632
188, 0.5437498116493225, 96.10782117843628
191, 0.5617718386650086, 99.11550784111023
194, 0.5790811252593994, 110.59189858436585
140, 0.7394390821456909, 271.6177825450897
70, 0.30896820783615114, 25.95224256515503
71, 0.31659977197647093, 27.301125288009644
76, 0.3009816694259644, 34.33062062263489
37, 0.11726021289825439, 2.5330113410949706
68, 0.20869872570037842, 13.400864839553833
96, 0.32371388912200927, 41.047170877456665
